Set,Price_Euro,Minifigs,Pieces
Corner Garage,179.99,6.0,2569.0
Ford Mustang,169.99,,1471.0
NASA Apollo 11 Lunar Lander,99.99,2.0,1087.0
Gingerbread House,89.99,2.0,1477.0
Harley-Davidson Fat Boy,89.99,,1023.0
Woody & RC,9.74,1.0,69.0
Duke Caboom's Stunt Show,19.49,2.0,120.0
Buzz and Bo Peep's Playground Adventure,24.36,3.0,139.0
RV Vacation,34.11,3.0,178.0
Buzz & Woody's Carnival Mania!,49.99,5.0,230.0
Carnival Thrill Coaster,19.49,2.0,98.0
My First Tow Truck,9.74,,11.0
My First Balancing Animals,14.61,,15.0
My First Fun Puzzle,19.49,,15.0
My First Car Creations,19.99,,34.0
Creative Fun,34.99,1.0,120.0
Mickey's Vacation House,48.73,3.0,57.0
Spider-Man vs. Electro,19.99,2.0,29.0
Toy Story Train,19.99,2.0,21.0
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,2.0,53.0
My First Minnie Build,9.99,,10.0
My First Mickey Build,9.74,,9.0
Frozen Ice Castle,49.99,3.0,59.0
Police Bike,9.99,1.0,8.0
Fire Truck,19.99,2.0,21.0
Police Station,29.99,3.0,38.0
Fire Station,49.99,2.0,76.0
Baby Animals,9.74,,9.0
Tropical Island,59.99,3.0,73.0
World Animals,99.99,6.0,121.0
Plane,9.99,1.0,12.0
Submarine Adventure,19.99,2.0,24.0
Bricks and Ideas,9.99,,123.0
Basic Brick Set ,19.99,,300.0
Bricks and Eyes ,29.23,,451.0
Windows of Creativity,29.23,,450.0
Creative Fun,34.11,,900.0
Star Wars: Build Your Own Adventure Galactic Missions parts,,1.0,66.0
The Book of Bedtime Builds parts,,,68.0
Harry Potter: Build Your Own Adventure parts,,1.0,101.0
Christmas Ideas parts,,,41.0
Wooden Minifigure parts,,,29.0
San Francisco,49.99,,565.0
Paris,49.99,,649.0
Trafalgar Square,79.99,,1197.0
Empire State Building,99.99,,1767.0
Burj Khalifa,39.99,,333.0
Minecraft Steve BigFig with Parrot,14.99,,159.0
Minecraft Alex BigFig with Chicken,14.99,,160.0
Minecraft Skeleton BigFig with Magma Cube,14.99,,142.0
The End Battle,19.99,2.0,222.0
The Pirate Ship Adventure,49.99,3.0,386.0
The Wool Farm,19.99,1.0,260.0
The Blaze Bridge,39.99,4.0,372.0
The Creeper Mine,79.99,4.0,834.0
The Flintstones,58.48,4.0,748.0
Steamboat Willie,87.72,2.0,751.0
Tree House,249.99,4.0,3036.0
Central Perk,79.99,7.0,1070.0
Dinosaur Fossils,59.99,2.0,910.0
My First Duck,,,6.0
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,1.0,44.0
Fire ATV,,1.0,39.0
Sky Police Jetpack,,2.0,33.0
Race Boat,3.99,1.0,34.0
Popcorn Cart,,1.0,43.0
Space Satellite,,1.0,36.0
Naboo Starfighter,,,48.0
Snowspeeder,,,49.0
Minecraft Steve and Creeper Set,,2.0,36.0
Tulips,,,90.0
Emma's Bumper Cars,3.99,1.0,66.0
Mia's Water Fun,,1.0,28.0
Spider-Man's Mini Spider Crawler,,1.0,73.0
Iron Man and Dum-E,,1.0,38.0
Rex's Plantimal Ambush,3.89,1.0,32.0
Podracer,,,58.0
Lucy vs. Alien Invader,,1.0,44.0
Mini Master-Building MetalBeard,,1.0,42.0
Mini Master-Building Emmet,3.89,1.0,49.0
Sam-X,,,56.0
Ninja Workout,,1.0,31.0
Fire Flight,,1.0,54.0
Fish Free Builds - Make It Yours,,,39.0
Elsa's Winter Throne,3.99,1.0,42.0
Pelican,3.89,,62.0
Race Car,3.99,,68.0
Santa,,,67.0
Star-Stuck Emmet,,1.0,41.0
SHAZAM!,,1.0,5.0
Obi-Wan Kenobi - Collectable Minifigure,,1.0,12.0
Futuristic Flyer,14.61,,157.0
Dune Buggy,12.66,,147.0
Deep Sea Creatures,14.99,,230.0
Sunset Track Racer,19.99,,221.0
Underwater Robot,19.99,,207.0
